"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.LMA","CWM.Tama√.o_hoja","CWM.Densidad_hoja","CWM.Densidad_tallo","CWM.Cont_materia_seca_tallo","plotcode"
"110085",4,4,0.115602289157187,0.610350690293136,0.762868090761359,0.899752166435464,1.79939853578917,0.167273993687383,160.352517,5.8981592,0.36914435,1.07286266,0.56124742,"110085"
"110094",5,5,0.0656830717117247,0.610350690293136,0.589335792001682,0.621213028853649,0.984751251621474,0.0631911062005737,141.504554545455,2.02080616161616,0.264651898989899,1.22143925252525,0.566710505050505,"110094"
"110158",6,6,0.0423963592581073,0.610350690293136,0.502242657449097,0.613657802561711,1.13307783584056,0.0768393408672836,132.173482,3.4467775,0.41355855,1.17458915,0.54286219,"110158"
"110160",4,4,0.128783941497084,0.610350690293136,0.730714871524684,0.92880509139265,1.88232555381763,0.17025210082522,167.896401,5.6225314,0.41309028,1.03128249,0.57212677,"110160"
"110397",7,7,0.267406245108756,0.610350690293136,0.666368721825258,0.778906488882424,1.20952776687059,0.145948039966137,141.764613,5.410936,0.48674883,1.13879485,0.58907465,"110397"
"140897",1,1,NA,0.610350690293136,NA,NA,0,0,117.71,2.852,0.34176,1.13,0.523064,"140897"
"140933",6,6,0.0969945532266333,0.610350690293136,0.439485338655357,0.146551704926767,0.455534251720086,0.0233050769457364,128.267724,2.2446936,0.30419071,1.12772844,0.56162845,"140933"
"141353",8,8,0.228355733954276,0.610350690293136,0.832832571376222,0.884526872144814,2.15524085451036,0.229966804806589,126.653876237624,7.4754299009901,0.330073306930693,1.16268669306931,0.505187277227723,"141353"
"141364",8,8,0.230668903112817,0.610350690293136,0.748102125006831,0.542277144316776,1.31334743852819,0.117523642080163,114.651546464646,3.27288191919192,0.322972595959596,1.13813256565657,0.542954161616162,"141364"
"141372",9,9,0.245460043905206,0.610350690293136,0.411678650583769,0.839919938087099,2.56337946805377,0.304447989113805,146.369237,3.614544,0.33680901,0.92426863,0.44965543,"141372"
"272850",10,10,0.178848861597945,0.610350690293136,0.474576972960733,0.816091973523063,1.19886213811457,0.0924357744062238,110.187458415842,0.807611287128713,0.465679554455446,1.13582644554455,0.549161732673267,"272850"
"272894",9,9,0.0546663323005224,0.610350690293136,0.498538001477621,0.756683383737431,1.80443327209541,0.16208620253099,104.057135643564,6.20575851485149,0.433276148514851,1.13483249504951,0.527070881188119,"272894"
"320575",4,4,0.00488590619789177,0.610350690293136,0.372673582944143,0.499062625701523,1.00066411207374,0.058846966986857,72.01873,4.7143044,0.27393702,1.05544486,0.37270696,"320575"
"320580",14,14,0.2350835150012,0.610350690293136,0.622578510145952,0.75507416500073,1.65902243939484,0.147509377661198,156.512595049505,1.50842465346535,0.503326663366337,1.1235187029703,0.566975752475248,"320580"
"320602",6,6,0.0269269510810442,0.610350690293136,0.357567721231053,0.976755987818179,0.832177900223241,0.0485709981743603,118.533809,1.7493672,0.56027613,1.16288314,0.54183084,"320602"
"410143",6,6,0.0796167868357223,0.610350690293136,0.64692440279784,0.634894319962347,1.02272473068311,0.0649771428214496,110.886714851485,3.41108920792079,0.322746762376238,1.188568,0.545834762376238,"410143"
"410162",5,5,0.0943057871531044,0.610350690293136,0.805954432263521,0.917888241972267,2.04870424805268,0.187470475591497,93.5254336633663,11.2028553465347,0.295748900990099,1.1022329009901,0.510637287128713,"410162"
"410273",7,7,0.112905041051611,0.610350690293136,0.849407069144728,0.834784344772465,1.76564044853421,0.139904238757771,96.1185564356436,5.60307623762376,0.32714402970297,1.14843677227723,0.512930514851485,"410273"
"410283",4,4,0.25275363655749,0.610350690293136,0.374080292577322,0.973817486367403,1.07132703728093,0.182628451374537,101.956042,14.8796434,0.17623793,0.56181687,0.49337891,"410283"
"410296",3,3,0.00808858452741492,0.610350690293136,0.0758608911178928,0.728793296755326,0.435516829055428,0.0291538194006706,69.2658059405941,5.49509504950495,0.214585930693069,1.12732335643564,0.493707158415842,"410296"
"450101",5,5,0.0628117324826654,0.610350690293136,0.476006556169757,0.687371438754711,1.04948262768357,0.0732116104602898,159.349876,0.1434477,0.32957633,1.09939631,0.67047862,"450101"
"450176",6,6,0.0725054520832053,0.610350690293136,0.494573176297235,0.895713401326412,2.02060248645788,0.187549380529982,226.924083168317,0.450091782178218,0.395751326732673,1.09963423762376,0.591337831683168,"450176"
"450203",3,3,0.002283031033873,0.610350690293136,0.576845015501506,0.961127706421531,0.698519683494738,0.0213443453923156,209.828572,2.5387042,0.45536744,1.10601938,0.64866202,"450203"
"450265",4,4,0.00628036994741225,0.610350690293136,0.338195695893127,0.298713560455738,0.454605321151543,0.0162808967777878,209.273101,4.2034465,0.47326155,1.13755082,0.64725107,"450265"
"451383",7,7,0.0843164160485619,0.610350690293136,0.639241381198559,0.557855585623234,1.11105603113862,0.0726240594156146,188.139186868687,2.49617131313131,0.499302707070707,1.12931715151515,0.640017626262626,"451383"
"490125",4,4,0.0428813027839879,0.610350690293136,0.412136264452686,0.969185207244139,0.601876681082321,0.0284846499591668,158.927919,1.085642,0.49084754,1.17062105,0.61973637,"490125"
"490299",5,5,0.0864512426853633,0.610350690293136,0.674362898539981,0.582090238338186,1.0460216509658,0.0662355595714268,237.889055,2.0004918,0.66340796,1.20095664,0.55949497,"490299"
"490300",4,4,0.0284246386842,0.610350690293136,0.593940190107105,0.386772063586754,0.797669838257028,0.0359009415556382,205.817001,2.293341,0.45343742,1.11448394,0.5941649,"490300"
"490525",5,5,0.0424904200449186,0.610350690293136,0.712138746074743,0.467765101651552,0.898352671664856,0.0642751749309644,189.119321212121,0.64286494949495,0.628470202020202,1.14194171717172,0.677631222222222,"490525"
"490813",6,6,0.0527425181482022,0.610350690293136,0.789921225779556,0.793509199006298,1.06648456734524,0.058957188291829,197.796025,1.3653202,0.34439501,1.1216966,0.53050799,"490813"
